Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct
SF10458,Karnataka,Guntur,Groundnut,Kharif,1.63,902.4,28.6,71.0,7.3,7.24,27.5,126.2,65.2,118.9,Flood,99.4,6.14,0.71,1.34,2.18,51010,100392,111202,10810,1066,2.045,63.7
SF10459,Punjab,Guntur,Pulses,Kharif,3.88,827.4,28.5,62.7,6.6,6.7,28.3,121.5,42.9,104.5,Rainfed,184.9,5.06,0.88,1.31,5.08,76542,267967,388833,120866,726,6.997,46.7
SF10460,Madhya Pradesh,Erode,Sugarcane,Rabi,7.39,315.2,23.7,71.6,7.7,6.46,16.2,100.7,40.8,90.5,Sprinkler,90.1,5.47,0.82,49.71,367.36,3628,367881,1332782,964901,15146,24.255,54.3
SF10461,Telangana,Rajkot,Maize,Rabi,9.09,191.9,20.8,67.1,7.4,6.52,27.4,197.7,58.5,110.8,Flood,214.3,7.65,0.74,3.15,28.63,19272,690390,551757,-138633,6339,4.516,35.1
SF10462,Karnataka,Nashik,Chilli,Zaid,10.31,207.8,34.9,41.3,9.0,7.24,17.7,183.3,58.5,37.7,Drip,102.7,8.12,0.74,1.2,12.37,88865,506899,1099260,592361,5738,2.156,38.9
SF10463,Andhra Pradesh,Raichur,Groundnut,Kharif,5.04,983.7,28.6,66.6,5.7,6.98,24.6,141.0,60.0,53.4,Flood,125.7,5.49,0.96,1.61,8.11,59868,335375,485529,150154,3661,2.215,56.3
SF10464,Gujarat,Guntur,Rice,Kharif,14.67,401.5,29.3,63.0,7.1,6.71,28.0,74.2,81.3,93.7,Drip,187.9,5.69,0.75,3.52,51.64,20280,985460,1047259,61799,17502,2.951,39.7
SF10465,Telangana,Rajkot,Wheat,Rabi,14.12,495.9,23.4,54.0,9.1,6.61,27.0,126.9,67.0,67.2,Drip,250.7,3.41,0.91,3.17,44.76,24211,855141,1083684,228543,6110,7.326,53.7
SF10466,Tamil Nadu,Warangal,Wheat,Rabi,2.97,457.5,24.7,69.7,8.0,5.86,25.2,102.4,43.0,140.8,Sprinkler,157.2,5.6,0.98,1.48,4.4,23413,180000,103017,-76983,1685,2.611,47.0
SF10467,Karnataka,Nashik,Maize,Rabi,11.4,426.1,23.8,62.3,6.8,7.2,22.8,147.5,61.8,168.9,Flood,124.6,4.79,0.82,3.71,42.29,20990,787157,887667,100510,8263,5.118,51.6
SF10468,Tamil Nadu,Warangal,Maize,Kharif,4.08,935.3,28.5,76.2,6.4,6.02,,99.9,82.2,63.5,Flood,154.5,7.7,0.68,2.37,9.67,20838,295548,201503,-94045,2990,3.234,50.3
SF10469,Telangana,Nalgonda,Rice,Kharif,10.3,979.6,33.0,62.1,5.1,6.1,33.9,103.6,68.4,138.9,Rainfed,176.0,6.12,0.71,1.59,16.38,20110,662505,329402,-333103,9131,1.794,46.5
SF10470,Maharashtra,Nashik,Wheat,Rabi,13.57,80.0,25.1,55.6,7.0,6.06,23.9,136.6,60.9,34.6,Drip,178.6,4.0,0.7,1.38,18.73,24996,829621,468175,-361446,5894,3.178,30.8
SF10471,Madhya Pradesh,Warangal,Maize,Kharif,2.33,1045.3,30.6,80.7,5.0,7.47,29.7,87.8,58.3,99.9,Rainfed,93.1,7.54,0.85,1.47,3.43,24344,148397,83500,-64897,857,4.002,66.1
SF10472,Tamil Nadu,Krishna,Wheat,Kharif,3.13,766.5,26.9,73.9,8.6,7.26,,137.4,52.9,119.2,Rainfed,194.9,2.1,0.73,2.06,6.45,28396,183003,183154,151,1070,6.028,49.9
SF10473,Gujarat,Nashik,Chilli,Kharif,11.52,914.7,29.8,82.8,7.5,7.26,24.6,113.0,62.7,136.9,Drip,250.7,4.54,0.98,1.7,19.58,100321,834625,1964285,1129660,6285,3.115,78.0
SF10474,Maharashtra,Nalgonda,Wheat,Kharif,11.96,712.7,32.8,71.9,7.2,7.1,30.6,111.8,85.5,118.9,Flood,132.7,2.92,0.8,3.22,38.51,18783,788679,723333,-65346,7719,4.989,65.6
SF10475,Karnataka,Nashik,Groundnut,Zaid,14.85,80.0,27.9,57.7,7.1,7.08,25.8,90.8,60.7,128.7,Sprinkler,155.2,5.4,0.83,1.01,15.0,50798,978661,761970,-216691,7130,2.104,37.3
SF10476,Telangana,Rajkot,Pulses,Zaid,13.77,157.7,31.9,47.6,7.7,5.89,18.7,118.1,65.1,115.4,Rainfed,175.9,3.6,0.98,0.39,5.37,69972,785441,375750,-409691,2790,1.925,43.0
SF10477,Karnataka,Warangal,Cotton,Kharif,5.56,482.8,26.0,59.6,7.1,6.67,42.1,135.7,78.6,107.8,Rainfed,162.9,2.73,0.96,1.68,9.34,76530,404523,714790,310267,2230,4.188,45.7
SF10478,Punjab,Raichur,Chilli,Kharif,9.86,872.1,29.2,65.5,7.6,6.71,35.3,82.8,60.3,126.4,Flood,130.0,4.92,0.8,2.88,28.4,107122,626835,3042265,2415430,7076,4.014,48.2
SF10479,Andhra Pradesh,Guntur,Pulses,Rabi,14.63,590.0,29.0,60.6,9.5,6.78,21.0,150.3,69.9,91.0,Rainfed,95.2,4.52,0.96,1.2,17.56,66216,869084,1162753,293669,3264,5.38,49.6
SF10480,Andhra Pradesh,Krishna,Rice,Zaid,13.64,100.9,31.1,47.9,9.2,6.64,19.0,112.2,33.7,67.4,Rainfed,67.8,5.64,0.67,2.03,27.69,19178,976614,531039,-445575,11253,2.461,39.3
SF10481,Punjab,Ludhiana,Rice,Kharif,12.91,1046.7,27.9,83.5,6.0,7.79,32.2,152.8,80.0,115.3,Rainfed,180.5,6.45,0.9,0.95,12.26,19552,875412,239708,-635704,9885,1.24,45.5
SF10482,Telangana,Nalgonda,Cotton,Kharif,10.7,529.5,29.6,67.3,6.6,6.41,34.2,158.3,90.8,122.0,Drip,164.0,8.91,0.9,2.18,23.33,74906,861543,1747557,886014,5355,4.357,37.4
SF10483,Punjab,Rajkot,Maize,Rabi,11.25,528.2,20.1,63.1,8.7,5.2,23.0,74.1,65.4,122.9,Drip,239.0,1.65,0.84,0.3,3.38,20680,675097,69898,-605199,6058,0.558,43.4
SF10484,Karnataka,Erode,Rice,Kharif,12.01,1049.4,28.6,80.7,6.0,6.93,33.6,101.0,25.2,108.8,Drip,248.7,6.91,0.71,3.01,36.15,21691,960213,784130,-176083,14203,2.545,62.1
SF10485,Maharashtra,Warangal,Rice,Kharif,2.57,519.2,31.0,69.6,4.4,7.28,27.7,87.3,46.4,123.5,Rainfed,292.3,5.73,0.66,1.83,4.7,18249,201659,85770,-115889,2332,2.015,46.2
SF10486,Tamil Nadu,Guntur,Wheat,Rabi,12.56,502.3,27.7,76.1,9.2,7.66,30.6,88.4,83.5,111.3,Rainfed,176.9,3.24,0.75,0.85,10.68,26319,807350,281087,-526263,3646,2.929,55.9
SF10487,Andhra Pradesh,Guntur,Sugarcane,Zaid,8.95,252.9,31.4,51.1,7.4,6.51,21.0,93.6,63.4,84.8,Flood,166.8,2.38,0.93,49.8,445.71,2762,621204,1231051,609847,18738,23.786,52.3
SF10488,Karnataka,Krishna,Maize,Rabi,1.94,397.8,21.1,59.7,7.1,6.79,18.5,152.2,56.2,92.0,Drip,249.0,2.8,0.73,3.72,7.22,21992,127790,158782,30992,971,7.436,44.0
SF10489,Maharashtra,Indore,Chilli,Kharif,5.19,874.0,28.5,70.0,7.1,7.26,31.8,117.6,89.0,90.4,Sprinkler,292.0,9.58,0.76,1.74,9.03,106242,401120,959365,558245,3752,2.407,37.2
SF10490,Telangana,Rajkot,Sugarcane,Kharif,2.24,815.4,26.4,93.4,6.6,6.56,41.5,55.4,55.3,132.7,Drip,168.5,7.35,0.67,66.68,149.36,2972,131684,443898,312214,3626,41.191,43.9
SF10491,Karnataka,Erode,Pulses,Rabi,11.01,400.9,21.3,51.4,7.0,6.44,33.3,117.6,47.7,141.3,Rainfed,196.3,1.23,0.84,1.02,11.23,70499,607232,791704,184472,2520,4.456,39.0
SF10492,Punjab,Indore,Maize,Zaid,7.34,80.0,32.2,51.0,6.5,6.6,20.3,98.6,54.8,75.6,Rainfed,128.0,3.47,0.71,2.33,17.1,20212,481663,345625,-136038,2060,8.301,34.7
SF10493,Tamil Nadu,Warangal,Maize,Kharif,5.91,785.0,31.9,79.9,8.4,6.42,23.2,120.7,28.6,109.1,Drip,259.4,5.3,0.94,4.48,26.48,23060,381893,610629,228736,3393,7.804,56.8
SF10494,Karnataka,Krishna,Sugarcane,Rabi,4.3,797.1,26.3,44.6,9.2,6.43,24.6,104.7,84.1,77.3,Rainfed,199.3,7.21,0.72,46.28,199.0,3433,292191,683167,390976,4333,45.927,47.6
SF10495,Andhra Pradesh,Erode,Maize,Kharif,9.58,843.3,24.3,70.9,7.8,5.48,17.6,137.6,65.4,113.5,Drip,61.8,7.04,0.92,0.79,7.57,20945,528986,158554,-370432,4447,1.702,49.4
SF10496,Andhra Pradesh,Warangal,Groundnut,Kharif,2.61,796.6,24.2,71.8,6.5,7.31,27.0,155.6,76.8,128.2,Rainfed,222.7,5.99,0.9,1.35,3.52,54099,209221,190428,-18793,636,5.535,49.1
SF10497,Tamil Nadu,Rajkot,Pulses,Zaid,0.51,,31.2,68.7,8.0,5.39,22.1,103.4,54.2,80.9,Flood,191.9,8.24,0.75,0.3,0.15,79617,41910,11943,-29967,232,0.647,40.3
SF10498,Madhya Pradesh,Nashik,Rice,Kharif,12.44,1122.2,30.2,62.3,7.5,7.48,30.3,162.4,53.5,62.4,Drip,154.4,3.1,0.94,1.46,18.16,24070,879647,437111,-442536,18560,0.978,66.6
SF10499,Telangana,Krishna,Maize,Zaid,8.23,249.9,28.2,50.8,7.6,6.77,24.5,160.4,41.1,143.7,Sprinkler,236.9,3.67,0.96,3.43,28.23,23175,714788,654230,-60558,3747,7.534,45.0
SF10500,Maharashtra,Ludhiana,Pulses,Rabi,14.85,363.6,22.0,46.2,5.4,7.46,15.7,110.6,75.0,172.2,Rainfed,113.4,7.64,0.65,0.51,7.57,67608,835560,511793,-323767,3442,2.199,35.1
SF10501,Karnataka,Nalgonda,Chilli,Zaid,4.5,340.7,32.1,41.6,8.7,5.29,20.1,112.8,57.7,115.9,Flood,155.5,6.22,0.87,0.3,1.35,102732,260067,138688,-121379,4027,0.335,43.2
SF10502,Tamil Nadu,Guntur,Groundnut,Zaid,14.52,170.1,29.6,44.3,8.6,6.55,11.7,104.0,61.0,97.0,Flood,204.1,3.44,0.86,1.22,17.71,55722,800432,986837,186405,7715,2.296,52.7
SF10503,Karnataka,Nalgonda,Sugarcane,Rabi,14.39,543.4,18.1,60.5,8.3,7.16,22.6,122.8,66.5,110.9,Drip,250.5,1.88,0.75,41.94,603.52,3085,1041379,1861859,820480,28185,21.413,37.4
SF10504,Madhya Pradesh,Ludhiana,Sugarcane,Kharif,3.09,769.4,27.3,72.7,5.8,6.06,25.7,115.8,57.1,129.8,Drip,246.4,6.25,0.68,59.1,182.62,3664,222032,669120,447088,4647,39.298,44.7
SF10505,Maharashtra,Krishna,Pulses,Rabi,9.21,406.0,25.2,60.0,6.9,6.8,21.7,124.0,38.1,66.6,Flood,257.5,8.14,0.67,1.05,9.67,69958,718776,676494,-42282,3854,2.509,24.6
SF10506,Karnataka,Guntur,Rice,Zaid,0.93,102.2,29.1,63.0,8.6,6.49,19.8,117.5,49.0,32.6,Flood,241.5,4.32,0.81,2.26,2.1,19585,74717,41128,-33589,1647,1.275,29.7
SF10507,Gujarat,Krishna,Maize,Kharif,14.05,1191.4,28.8,63.6,6.9,7.13,34.5,88.0,41.0,122.1,Flood,196.5,4.03,0.69,2.46,34.56,22589,995104,780676,-214428,8880,3.892,65.6
SF10508,Karnataka,Krishna,Wheat,Kharif,13.87,702.2,25.6,81.2,6.0,6.73,26.4,76.9,64.1,131.9,Rainfed,206.3,7.7,0.77,3.05,42.3,26229,1008988,1109487,100499,4413,9.585,49.0
SF10509,Punjab,Krishna,Groundnut,Zaid,2.88,207.1,27.7,52.8,8.3,6.3,19.1,126.8,53.2,165.5,Drip,129.7,4.6,0.97,1.51,4.35,50155,187560,218174,30614,1295,3.359,45.9
SF10510,Madhya Pradesh,Nalgonda,Groundnut,Kharif,13.51,764.1,30.9,73.6,7.1,5.8,26.0,140.1,37.4,90.8,Drip,145.1,6.15,0.67,0.77,10.4,51213,871460,532615,-338845,6046,1.72,61.7
SF10511,Karnataka,Krishna,Pulses,Kharif,2.32,766.8,27.2,70.1,6.8,6.46,36.3,98.1,52.3,118.4,Drip,164.7,3.65,0.73,1.76,4.08,62800,163437,256224,92787,791,5.158,44.8
SF10512,Punjab,Krishna,Chilli,Zaid,3.1,583.0,32.5,50.8,8.5,7.12,14.7,187.9,19.6,103.5,Flood,162.5,4.61,0.7,1.69,5.24,120614,227218,632017,404799,2695,1.944,48.7
SF10513,Karnataka,Nashik,Wheat,Rabi,6.8,581.1,26.5,40.3,5.3,6.7,23.7,77.5,53.9,50.8,Flood,266.9,5.99,0.88,2.96,20.13,22066,637468,444189,-193279,4884,4.122,42.5
SF10514,Andhra Pradesh,Nashik,Wheat,Kharif,10.33,1029.2,24.7,83.4,6.5,6.62,29.2,89.8,49.9,138.9,Flood,198.0,5.41,0.94,2.89,29.85,24538,791867,732459,-59408,7116,4.195,52.6
SF10515,Andhra Pradesh,Nalgonda,Maize,Kharif,3.5,691.7,27.6,73.1,6.4,6.94,28.6,110.3,66.1,128.0,Sprinkler,196.1,4.6,0.97,4.76,16.66,21514,252754,358423,105669,2387,6.979,53.2
SF10516,Maharashtra,Nashik,Pulses,Rabi,12.96,275.1,27.8,61.7,7.3,7.71,15.2,116.3,72.2,110.5,Drip,101.2,8.49,0.65,0.38,4.92,65532,747959,322417,-425542,3842,1.281,21.4
SF10517,Madhya Pradesh,Nashik,Rice,Rabi,11.48,105.0,24.3,47.8,8.7,6.48,14.8,112.8,43.5,119.9,Drip,222.7,5.98,0.96,2.65,30.42,20981,790176,638242,-151934,13769,2.209,30.6
SF10518,Punjab,Nashik,Maize,Kharif,6.08,1032.8,28.4,72.3,7.6,5.94,35.1,87.1,38.2,74.6,Drip,183.9,2.53,0.89,1.82,11.07,21114,430477,233732,-196745,3623,3.055,61.7
SF10519,Telangana,Guntur,Pulses,Kharif,5.58,982.5,24.8,60.8,6.6,6.97,28.9,91.5,69.1,141.5,Flood,142.7,2.75,0.78,1.27,7.09,72459,385646,513734,128088,2524,2.809,52.3
SF10520,Andhra Pradesh,Guntur,Groundnut,Kharif,8.45,1098.3,23.8,70.2,6.5,6.89,36.8,128.1,51.1,81.2,Sprinkler,270.7,5.21,0.82,1.37,11.58,59909,591631,693746,102115,4509,2.568,63.3
SF10521,Gujarat,Ludhiana,Pulses,Rabi,14.01,,25.7,59.2,8.5,6.81,32.9,130.2,57.4,78.2,Flood,150.1,5.25,0.9,1.2,16.81,76792,965560,1290874,325314,6528,2.575,40.1
SF10522,Madhya Pradesh,Erode,Cotton,Rabi,14.03,447.2,20.9,62.8,7.0,6.39,28.1,118.5,75.1,93.1,Drip,278.2,5.85,0.98,1.45,20.34,69752,1184003,1418756,234753,9145,2.224,36.1
SF10523,Gujarat,Indore,Pulses,Rabi,11.52,472.7,26.9,55.8,7.5,6.43,20.6,120.6,68.6,98.0,Rainfed,308.8,3.19,0.98,1.36,15.67,62394,740423,977714,237291,2258,6.94,48.3
SF10524,Karnataka,Guntur,Wheat,Kharif,8.74,732.7,31.7,64.5,7.6,7.44,33.2,130.5,40.0,110.6,Flood,191.6,5.9,0.67,1.48,12.94,25177,587094,325790,-261304,6573,1.969,47.2
SF10525,Andhra Pradesh,Ludhiana,Rice,Rabi,8.75,291.4,21.6,59.2,6.9,5.39,28.1,92.6,49.2,129.3,Flood,81.6,4.2,0.98,0.34,2.98,27459,565968,81828,-484140,16860,0.177,49.4
SF10526,Madhya Pradesh,Warangal,Sugarcane,Rabi,4.59,580.1,26.7,53.6,9.4,6.03,25.7,148.9,51.3,134.7,Flood,168.4,7.62,0.87,50.25,230.65,3564,301913,822037,520124,9814,23.502,19.7
SF10527,Madhya Pradesh,Indore,Cotton,Kharif,6.96,1174.6,26.4,79.0,5.7,6.04,31.1,178.6,63.4,84.5,Sprinkler,191.6,7.75,0.85,1.18,8.21,72186,474814,592647,117833,4810,1.707,48.8
SF10528,Maharashtra,Indore,Cotton,Kharif,6.35,1213.7,26.3,73.6,7.1,6.33,30.4,149.3,41.8,98.8,Drip,143.0,5.63,0.69,1.17,7.43,69828,441813,518822,77009,4491,1.654,52.7
SF10529,Tamil Nadu,Raichur,Sugarcane,Rabi,11.32,297.2,17.8,64.4,6.4,5.55,22.5,144.0,41.6,130.7,Rainfed,195.8,5.92,0.94,7.89,89.31,3559,826201,317854,-508347,11664,7.657,36.9
SF10530,Maharashtra,Indore,Groundnut,Rabi,9.57,185.3,23.9,56.2,7.9,5.99,25.3,150.3,60.8,108.5,Rainfed,180.6,6.68,0.72,0.77,7.37,55386,527492,408195,-119297,2408,3.061,31.9
SF10531,Madhya Pradesh,Nalgonda,Maize,Kharif,8.29,1012.8,31.4,85.9,6.6,6.63,31.2,123.5,59.5,73.3,Flood,179.7,4.21,0.97,3.26,27.03,20140,501705,544384,42679,6365,4.247,62.5
SF10532,Andhra Pradesh,Nashik,Wheat,Rabi,4.25,162.8,24.1,65.4,8.1,6.9,26.6,149.0,54.2,115.3,Flood,69.8,4.06,0.89,2.44,10.37,23504,245593,243736,-1857,3104,3.341,31.7
SF10533,Madhya Pradesh,Warangal,Rice,Kharif,8.53,635.6,29.2,57.5,5.9,6.18,34.4,111.3,45.6,133.1,Rainfed,254.0,7.36,0.88,2.73,23.29,24424,681956,568835,-113121,6494,3.586,41.5
SF10534,Telangana,Indore,Maize,Zaid,14.64,465.9,30.3,44.0,8.9,6.67,23.1,114.8,43.6,114.6,Drip,208.7,4.13,1.0,3.73,54.61,24003,945613,1310804,365191,7816,6.987,49.6
SF10535,Tamil Nadu,Indore,Maize,Kharif,4.29,860.6,23.4,81.0,6.8,7.29,42.0,108.1,61.2,104.7,Drip,153.6,6.36,0.95,3.19,13.69,19543,273094,267544,-5550,2471,5.54,47.7
SF10536,Karnataka,Raichur,Maize,Rabi,11.98,216.0,26.4,53.8,7.1,6.42,13.5,136.6,24.1,66.7,Drip,256.2,6.4,0.85,3.22,38.58,21902,824266,844979,20713,5469,7.054,32.8
SF10537,Gujarat,Warangal,Cotton,Kharif,12.66,670.0,22.7,84.0,6.3,6.33,31.1,89.9,67.6,103.6,Flood,138.6,5.4,0.99,1.59,20.13,67283,864030,1354407,490377,11316,1.779,36.6
SF10538,Gujarat,Indore,Sugarcane,Zaid,6.94,322.1,30.4,57.3,6.5,6.7,9.0,111.9,68.2,115.0,Flood,164.5,4.9,0.88,51.39,356.65,3635,470888,1296423,825535,16650,21.42,51.3
SF10539,Madhya Pradesh,Indore,Chilli,Rabi,14.65,232.5,24.3,59.2,9.0,5.51,31.9,114.4,60.1,93.8,Rainfed,267.4,2.83,0.98,0.3,4.39,112312,1010495,493050,-517445,4727,0.929,44.3
SF10540,Andhra Pradesh,Warangal,Groundnut,Kharif,0.89,1093.0,33.0,69.9,8.8,6.25,30.7,70.5,58.5,136.9,Flood,274.7,5.51,0.72,1.16,1.03,50525,77878,52041,-25837,574,1.794,59.0
SF10541,Punjab,Rajkot,Chilli,Kharif,6.19,579.5,31.2,51.1,5.1,7.92,30.0,116.7,56.1,124.0,Flood,178.7,6.3,0.89,0.45,2.79,124463,443163,347252,-95911,4666,0.598,52.1
SF10542,Maharashtra,Raichur,Maize,Kharif,1.31,874.6,25.0,58.8,7.1,6.07,24.6,136.0,70.0,129.0,Rainfed,180.3,2.99,0.69,2.69,3.52,19833,85470,69812,-15658,424,8.302,69.3
SF10543,Karnataka,Warangal,Pulses,Rabi,11.46,277.3,26.0,57.7,7.5,7.18,17.6,88.3,48.8,54.7,Flood,180.2,7.92,0.71,0.88,10.08,76378,783107,769890,-13217,5269,1.913,38.3
SF10544,Gujarat,Erode,Cotton,Rabi,4.34,312.4,17.9,51.2,7.3,6.16,29.1,99.4,50.4,143.8,Flood,140.0,2.9,0.88,0.89,3.86,69522,215728,268355,52627,4219,0.915,40.7
SF10545,Madhya Pradesh,Rajkot,Wheat,Rabi,13.33,543.0,27.9,71.5,7.4,6.79,12.9,89.5,39.0,106.2,Rainfed,160.9,2.95,0.89,2.72,36.26,25952,856093,941020,84927,4432,8.181,57.6
SF10546,Punjab,Ludhiana,Pulses,Zaid,9.73,462.6,31.8,64.7,7.5,7.68,8.0,81.5,69.0,98.4,Drip,214.3,7.45,0.68,0.32,3.11,67344,721077,209440,-511637,2584,1.204,36.8
SF10547,Punjab,Nalgonda,Cotton,Rabi,1.52,417.5,23.0,67.5,8.5,6.54,26.0,136.5,44.5,105.1,Sprinkler,176.4,2.6,0.86,1.71,2.6,70381,134546,182991,48445,1032,2.519,43.6
SF10548,Tamil Nadu,Raichur,Rice,Rabi,5.77,693.8,23.0,67.0,7.8,6.27,19.3,111.7,61.4,124.7,Flood,187.7,8.73,0.83,3.43,19.79,21813,452854,431679,-21175,10829,1.828,39.8
SF10549,Tamil Nadu,Krishna,Rice,Kharif,10.37,986.3,23.5,78.8,5.8,6.78,24.6,83.6,54.6,133.7,Rainfed,189.7,4.37,0.76,3.1,32.15,22197,715386,713634,-1752,7874,4.083,56.6
SF10550,Gujarat,Ludhiana,Sugarcane,Zaid,14.61,283.1,28.1,38.2,6.5,7.76,18.3,114.1,52.7,82.3,Sprinkler,124.6,5.97,0.83,10.97,160.27,3566,882469,571523,-310946,30041,5.335,21.1
SF10551,Telangana,Nashik,Wheat,Rabi,13.83,115.2,22.5,58.7,7.8,7.03,15.8,119.4,65.4,125.4,Flood,126.9,6.43,0.72,1.94,26.83,26943,1007796,722881,-284915,8020,3.345,38.4
SF10552,Gujarat,Erode,Maize,Kharif,11.24,1064.3,29.3,69.1,7.1,7.36,38.7,133.0,76.5,85.5,Sprinkler,194.7,3.82,0.87,1.97,22.14,22247,747285,492549,-254736,6391,3.464,65.9
SF10553,Maharashtra,Guntur,Sugarcane,Kharif,4.74,1059.5,24.6,86.6,6.9,5.75,33.3,127.5,43.9,113.5,Rainfed,101.2,5.05,0.7,18.14,85.98,3071,271647,264045,-7602,4089,21.027,57.1
SF10554,Maharashtra,Guntur,Pulses,Kharif,13.52,867.1,28.3,69.5,5.4,7.14,24.6,143.0,24.7,107.6,Flood,165.0,3.54,0.96,1.24,16.76,75525,886313,1265799,379486,6602,2.539,49.0
SF10555,Karnataka,Warangal,Groundnut,Rabi,9.42,350.9,21.1,58.3,6.8,7.05,24.7,152.6,28.1,129.5,Flood,188.7,7.01,0.98,1.38,13.0,56790,718902,738270,19368,6888,1.887,29.7
SF10556,Andhra Pradesh,Nashik,Chilli,Rabi,7.94,456.8,25.3,47.7,7.6,7.1,12.9,108.0,75.8,96.5,Flood,228.2,8.51,0.87,,15.64,92892,619157,1452831,833674,6146,2.545,34.4
SF10557,Andhra Pradesh,Ludhiana,Pulses,Kharif,9.21,1123.4,32.5,70.5,7.5,5.85,41.0,92.7,77.6,85.2,Flood,305.6,5.59,0.85,0.39,3.59,64138,690449,230255,-460194,4732,0.759,48.3
SF10558,Karnataka,Raichur,Wheat,Rabi,3.98,541.4,22.9,56.5,8.1,5.99,20.3,117.4,69.2,94.2,Rainfed,162.8,7.7,0.82,1.61,6.41,29308,221790,187864,-33926,1339,4.787,36.8
SF10559,Karnataka,Nalgonda,Cotton,Kharif,2.49,886.7,28.0,69.5,6.0,7.0,20.9,91.8,53.7,128.6,Sprinkler,163.8,7.19,0.93,1.56,3.88,70476,185216,273447,88231,1862,2.084,49.8
SF10560,Tamil Nadu,Nalgonda,Groundnut,Rabi,6.76,477.8,24.3,49.8,6.8,6.51,22.9,131.4,58.2,66.6,Sprinkler,237.5,3.92,0.76,1.84,12.44,61389,514036,763679,249643,3322,3.745,48.8
SF10561,Telangana,Rajkot,Rice,Zaid,3.7,704.8,27.8,56.8,6.8,6.78,22.1,121.5,15.0,105.8,Sprinkler,193.4,7.78,0.67,4.08,15.1,23470,281585,354397,72812,4720,3.199,30.6
SF10562,Telangana,Nalgonda,Pulses,Kharif,4.97,804.1,30.3,78.7,6.5,7.2,28.3,141.6,70.2,125.7,Flood,241.4,6.62,0.73,1.03,5.12,64201,379662,328709,-50953,2350,2.179,32.3
SF10563,Telangana,Nalgonda,Groundnut,Rabi,10.91,189.4,21.3,64.4,7.0,5.86,21.9,167.2,80.8,79.5,Flood,111.9,7.39,0.85,0.64,6.98,61537,803096,429528,-373568,8260,0.845,21.8
SF10564,Madhya Pradesh,Ludhiana,Chilli,Rabi,11.89,179.0,23.9,48.1,7.4,7.93,37.7,45.2,39.1,105.3,Flood,230.7,5.02,0.71,0.3,3.57,79262,838891,282965,-555926,9980,0.358,49.2
SF10565,Andhra Pradesh,Warangal,Rice,Kharif,13.93,870.0,26.5,58.9,7.9,5.29,24.3,130.2,43.5,112.4,Flood,143.0,6.1,0.66,0.36,5.01,22303,863751,111738,-752013,22816,0.22,47.1
SF10566,Madhya Pradesh,Krishna,Groundnut,Kharif,2.08,701.5,29.4,78.7,6.5,6.94,29.7,82.7,59.9,90.2,Rainfed,199.2,5.84,0.99,1.74,3.62,55854,153818,202191,48373,687,5.269,53.9
SF10567,Telangana,Nalgonda,Cotton,Rabi,6.56,642.8,21.1,59.2,8.0,6.32,15.5,124.6,46.1,102.4,Flood,50.6,3.01,0.81,1.47,9.64,69114,247752,666259,418507,6810,1.416,41.4
SF10568,Punjab,Nalgonda,Pulses,Kharif,11.19,682.6,28.1,82.7,8.6,7.91,35.6,117.5,22.8,104.3,Sprinkler,136.1,4.54,0.86,0.3,3.36,66121,579591,222167,-357424,4161,0.807,52.9
SF10569,Punjab,Rajkot,Cotton,Zaid,11.47,240.1,29.6,63.6,7.1,6.17,24.1,183.1,73.4,66.5,Flood,257.7,7.0,0.91,1.03,11.81,78561,859819,927805,67986,10825,1.091,35.1
SF10570,Punjab,Indore,Rice,Zaid,9.72,174.2,32.4,44.9,8.8,7.63,24.4,88.9,61.8,100.1,Rainfed,215.5,4.44,0.97,0.74,7.19,23579,586001,169533,-416468,5825,1.234,33.7
SF10571,Karnataka,Raichur,Cotton,Zaid,3.58,341.2,28.6,49.2,9.8,6.84,18.2,120.7,81.8,102.2,Flood,85.6,5.15,0.91,1.28,4.58,68158,176258,312164,135906,3297,1.389,31.7
SF10572,Gujarat,Indore,Rice,Kharif,7.06,947.6,29.7,68.0,8.2,6.9,33.9,103.5,89.3,101.3,Rainfed,230.4,6.41,0.86,3.21,22.66,22116,458812,501149,42337,5240,4.324,55.9
SF10573,Gujarat,Erode,Groundnut,Kharif,7.72,979.4,26.1,72.5,5.3,5.82,37.8,134.5,57.3,87.4,Sprinkler,116.2,5.84,0.68,0.85,6.56,51712,391543,339231,-52312,3880,1.691,45.0
SF10574,Gujarat,Raichur,Sugarcane,Rabi,6.8,401.8,26.3,60.9,8.2,7.16,,125.5,80.2,138.9,Flood,188.2,8.75,0.9,63.19,429.69,3632,378817,1560634,1181817,14435,29.767,26.1
SF10575,Andhra Pradesh,Krishna,Maize,Rabi,2.14,558.3,25.4,74.1,8.2,6.95,23.5,142.2,53.2,148.3,Flood,188.3,2.05,0.89,3.75,8.02,23310,111009,186946,75937,1550,5.174,57.6
